;Year;Engine HP;Engine Cylinders;Number of Doors;highway MPG;city mpg;Popularity;MSRP
LexusRC 200t;2016.5;241.0;4.0;2.0;32.0;22.0;454.0;40075.0
LexusRC 300;2016.5;255.0;6.0;2.0;26.0;19.0;454.0;42690.0
LexusRC 350;2016.0;306.0;6.0;2.0;27.0;19.0;454.0;43965.833333333336
LexusRC F;2016.0;467.0;8.0;2.0;25.0;16.0;454.0;63123.333333333336
LexusRX 300;2002.0;220.0;6.0;4.0;21.0;16.5;454.0;35228.333333333336
LexusRX 330;2005.0;227.66666666666666;6.0;4.0;22.666666666666668;16.5;454.0;36590.0
LexusRX 350;2016.0;285.90909090909093;6.0;4.0;26.09090909090909;18.90909090909091;454.0;45752.27272727273
LexusRX 400h;2007.0;268.0;6.0;4.0;24.666666666666668;27.166666666666668;454.0;43340.0
LexusRX 450h;2016.0;304.2857142857143;6.0;4.0;28.285714285714285;30.714285714285715;454.0;52726.42857142857
LexusSC 300;1999.0;225.0;6.0;2.0;22.0;17.0;454.0;3633.3333333333335
LexusSC 400;1999.0;290.0;8.0;2.0;23.0;16.333333333333332;454.0;3959.0
LexusSC 430;2009.0;288.0;8.0;2.0;23.0;16.0;454.0;67188.33333333333
LincolnAviator;2003.8;302.0;8.0;4.0;16.7;11.8;61.0;42543.0
LincolnBlackwood;2002.0;300.0;8.0;4.0;15.0;11.0;61.0;51785.0
LincolnContinental;2011.1538461538462;288.3333333333333;6.769230769230769;4.0;24.53846153846154;16.23076923076923;61.0;47855.0
LincolnLS;2004.6363636363637;253.8181818181818;6.909090909090909;4.0;23.363636363636363;16.363636363636363;61.0;37970.454545454544
LincolnMKC;2016.2;240.0;4.0;4.0;27.1;19.7;61.0;40209.5
LincolnMKS;2015.0;334.77777777777777;6.0;4.0;25.77777777777778;17.555555555555557;61.0;41898.333333333336
LincolnMKT;2016.0;334.0;6.0;4.0;23.0;15.833333333333334;61.0;44950.833333333336
LincolnMKX;2016.3333333333333;303.22222222222223;6.0;4.0;24.944444444444443;16.833333333333332;61.0;45255.555555555555
LincolnMKZ;2016.25;228.0;4.0;4.0;33.333333333333336;27.833333333333332;61.0;40691.25
LincolnMKZ Hybrid;2011.0;191.0;4.0;4.0;36.0;41.0;61.0;34645.0
LincolnMark LT;2007.2;300.0;8.0;4.0;16.4;12.3;61.0;40147.5
LincolnMark VII;1991.0;225.0;8.0;2.0;22.0;15.0;61.0;2000.0
LincolnMark VIII;1997.0;281.6666666666667;8.0;2.0;24.0;15.666666666666666;61.0;2223.6666666666665
LincolnNavigator;2016.2;377.0;6.0;4.0;20.15;15.15;61.0;68917.5
LincolnTown Car;2010.25;239.0;8.0;4.0;24.0;16.0;61.0;49718.75
LincolnZephyr;2006.0;221.0;6.0;4.0;26.0;17.0;61.0;28995.0
LotusElise;2010.0;203.25;4.0;2.0;26.5;20.5;613.0;51657.5
LotusEsprit;2003.0;350.0;8.0;2.0;21.0;14.0;613.0;91291.66666666667
LotusEvora;2013.0;303.6;6.0;2.0;26.1;17.6;613.0;71776.0
LotusEvora 400;2017.0;400.0;6.0;2.0;39.0;21.0;613.0;91900.0
LotusExige;2010.1666666666667;248.5;4.0;2.0;26.0;20.0;613.0;69627.5
MaseratiCoupe;2005.0;388.3333333333333;8.0;2.0;16.166666666666668;10.666666666666666;238.0;83862.33333333333
MaseratiGhibli;2016.125;381.875;6.0;4.0;24.25;16.0;238.0;75175.0
MaseratiGranSport;2005.75;399.5;8.0;2.0;17.5;11.0;238.0;100266.5
MaseratiGranTurismo;2015.125;454.0;8.0;2.0;21.0;13.0;238.0;145993.0
MaseratiGranTurismo Convertible;2015.090909090909;451.27272727272725;8.0;2.0;20.0;13.0;238.0;155824.36363636365
MaseratiLevante;2017.0;384.5;6.0;4.0;19.5;14.0;238.0;77500.0
MaseratiQuattroporte;2016.4615384615386;440.61538461538464;6.615384615384615;4.0;22.76923076923077;15.461538461538462;238.0;119415.38461538461
MaseratiSpyder;2004.0;388.3333333333333;8.0;2.0;15.5;10.166666666666666;238.0;88165.83333333333
Maybach57;2010.857142857143;586.2857142857143;12.0;4.0;16.0;10.0;67.0;401357.14285714284
Maybach62;2010.857142857143;586.2857142857143;12.0;4.0;16.0;10.0;67.0;452471.4285714286
MaybachLandaulet;2011.5;620.0;12.0;4.0;16.0;10.0;67.0;1381375.0
Mazda2;2013.0;100.0;4.0;4.0;34.5;28.5;586.0;15821.666666666666
Mazda3;2015.8301886792453;165.9433962264151;4.0;4.0;38.471698113207545;28.056603773584907;586.0;22195.0
Mazda323;1992.8;82.0;4.0;2.0;32.8;24.8;586.0;2000.0
Mazda5;2013.909090909091;157.0;4.0;4.0;28.0;21.545454545454547;586.0;22183.636363636364
Mazda6;2016.0;184.0;4.0;4.0;36.733333333333334;25.6;586.0;24761.333333333332
Mazda626;2000.909090909091;148.63636363636363;5.090909090909091;4.0;26.09090909090909;20.09090909090909;586.0;13786.818181818182
Mazda929;1994.0;193.66666666666666;6.0;4.0;22.0;17.0;586.0;2000.0
MazdaB-Series;2001.0;152.46153846153845;5.384615384615385;2.4615384615384617;21.615384615384617;16.53846153846154;586.0;16712.69230769231
MazdaB-Series Pickup;1999.075;142.225;5.4;2.7;21.25;16.525;586.0;2984.975
MazdaB-Series Truck;2007.6363636363637;173.45454545454547;5.454545454545454;3.272727272727273;21.09090909090909;16.727272727272727;586.0;20608.636363636364
MazdaCX-3;2016.5;146.0;4.0;4.0;33.25;28.0;586.0;22928.333333333332
MazdaCX-5;2015.2413793103449;176.0;4.0;4.0;31.79310344827586;25.03448275862069;586.0;25403.96551724138
MazdaCX-7;2011.05;210.8;4.0;4.0;24.85;18.5;586.0;27214.5
MazdaCX-9;2015.0526315789473;256.05263157894734;5.2631578947368425;4.0;24.63157894736842;18.31578947368421;586.0;34961.84210526316
MazdaMPV;2005.125;200.0;6.0;4.0;23.0;16.0;586.0;24888.75
MazdaMX-3;1993.6666666666667;109.0;5.0;2.0;29.666666666666668;22.333333333333332;586.0;2000.0
MazdaMX-5 Miata;2014.857142857143;160.89285714285714;4.0;2.0;29.5;22.357142857142858;586.0;28300.535714285714
MazdaMX-6;1996.0;143.71428571428572;5.142857142857143;2.0;27.0;20.142857142857142;586.0;2000.0
MazdaMazdaspeed 3;2012.0;263.0;4.0;4.0;25.0;18.0;586.0;23966.666666666668
MazdaMazdaspeed 6;2006.5;274.0;4.0;4.0;23.0;17.0;586.0;28960.0
MazdaMazdaspeed MX-5 Miata;2004.6666666666667;178.0;4.0;2.0;24.0;18.0;586.0;26030.0
MazdaMazdaspeed Protege;2003.0;170.0;4.0;4.0;27.0;21.0;586.0;20230.0
MazdaMillenia;2001.111111111111;192.22222222222223;6.0;4.0;24.555555555555557;17.0;586.0;20622.88888888889
MazdaNavajo;1993.0;158.33333333333334;6.0;2.0;19.833333333333332;15.0;586.0;2000.0
MazdaProtege;2001.8181818181818;126.0;4.0;4.0;28.545454545454547;22.545454545454547;586.0;14788.636363636364
MazdaProtege5;2002.5;130.0;4.0;4.0;28.0;22.0;586.0;16675.0
MazdaRX-7;1994.0;255.0;;2.0;23.0;15.0;586.0;8169.666666666667
MazdaRX-8;2009.8823529411766;223.76470588235293;;4.0;22.41176470588235;16.0;586.0;29727.647058823528
MazdaTribute;2009.8709677419354;193.25806451612902;4.645161290322581;4.0;26.225806451612904;19.64516129032258;586.0;24722.74193548387
MazdaTribute Hybrid;2008.5;155.0;4.0;4.0;28.75;31.5;586.0;29462.5
MazdaTruck;2002.6;168.6;5.6;2.6666666666666665;20.733333333333334;16.733333333333334;586.0;18810.666666666668
McLaren570S;2016.0;562.0;8.0;2.0;23.0;16.0;416.0;184900.0
McLaren650S Coupe;2015.0;641.0;8.0;2.0;22.0;16.0;416.0;265500.0
McLaren650S Spider;2015.0;641.0;8.0;2.0;22.0;16.0;416.0;280225.0
McLarenMP4-12C;2012.5;604.0;8.0;2.0;22.0;15.0;416.0;234200.0
Mercedes-Benz190-Class;1992.0;144.0;5.0;4.0;25.5;17.5;617.0;2000.0
Mercedes-Benz300-Class;1991.9655172413793;182.79310344827587;5.896551724137931;3.586206896551724;21.413793103448278;16.344827586206897;617.0;2385.5862068965516
Mercedes-Benz350-Class;1990.5;134.0;6.0;4.0;23.0;19.0;617.0;2182.75
Mercedes-Benz400-Class;1992.5;275.0;8.0;4.0;18.75;14.0;617.0;2398.25
Mercedes-Benz420-Class;1990.5;201.0;8.0;4.0;17.0;14.0;617.0;2093.0
Mercedes-Benz500-Class;1992.375;318.5;8.0;3.0;16.75;12.75;617.0;3643.625
Mercedes-Benz560-Class;1990.5;238.0;8.0;3.0;16.0;12.0;617.0;2310.0
Mercedes-Benz600-Class;1992.75;392.25;12.0;3.0;15.0;11.0;617.0;3475.5
Mercedes-BenzAMG GT;2016.6666666666667;487.3333333333333;8.0;2.0;22.0;16.0;617.0;124100.0
Mercedes-BenzB-Class Electric Drive;2016.0;177.0;0.0;4.0;82.0;85.0;617.0;40933.333333333336
Mercedes-BenzC-Class;2016.054054054054;310.7837837837838;5.243243243243243;3.4594594594594597;29.405405405405407;21.72972972972973;617.0;49298.37837837838
Mercedes-BenzC36 AMG;1996.0;273.3333333333333;6.0;4.0;20.666666666666668;16.0;617.0;3960.3333333333335
Mercedes-BenzC43 AMG;1999.0;302.0;8.0;4.0;21.0;16.0;617.0;4957.333333333333
Mercedes-BenzCL-Class;2013.0;524.0;10.0;2.0;20.5;13.5;617.0;160483.33333333334
Mercedes-BenzCLA-Class;2016.0;261.44444444444446;4.0;4.0;33.666666666666664;24.22222222222222;617.0;38427.77777777778
Mercedes-BenzCLK-Class;2007.9333333333334;356.6666666666667;7.2;2.0;22.333333333333332;15.2;617.0;65133.333333333336
Mercedes-BenzCLS-Class;2015.8461538461538;419.9230769230769;7.384615384615385;4.0;25.53846153846154;17.692307692307693;617.0;80448.46153846153
Mercedes-BenzE-Class;2015.7551020408164;326.46938775510205;5.959183673469388;3.3877551020408165;29.367346938775512;20.6734693877551;617.0;61857.142857142855
Mercedes-BenzE55 AMG;1999.5;349.0;8.0;4.0;21.0;15.0;617.0;5999.0
Mercedes-BenzG-Class;2015.6;503.6;8.8;4.0;14.0;12.0;617.0;146040.0
Mercedes-BenzGL-Class;2015.0;395.25;7.166666666666667;4.0;20.333333333333332;15.25;617.0;84225.83333333333
Mercedes-BenzGLA-Class;2016.0;261.44444444444446;4.0;4.0;31.555555555555557;23.555555555555557;617.0;38564.444444444445
Mercedes-BenzGLC-Class;2016.5;241.0;4.0;4.0;28.0;21.5;617.0;40050.0
Mercedes-BenzGLE-Class;2016.4545454545455;392.8181818181818;6.545454545454546;4.0;21.181818181818183;16.454545454545453;617.0;73775.45454545454
Mercedes-BenzGLE-Class Coupe;2016.5;469.5;7.0;4.0;20.5;15.5;617.0;88675.0
Mercedes-BenzGLK-Class;2014.0;268.0;5.333333333333333;4.0;27.444444444444443;20.555555555555557;617.0;38656.666666666664
Mercedes-BenzGLS-Class;2017.0;462.6666666666667;7.333333333333333;4.0;19.0;14.666666666666666;617.0;95550.0
Mercedes-BenzM-Class;2014.0;355.64285714285717;6.533333333333333;4.0;22.333333333333332;16.866666666666667;617.0;61332.0
Mercedes-BenzML55 AMG;2000.0;342.0;8.0;4.0;16.0;12.0;617.0;5650.0
Mercedes-BenzMaybach;2016.5;523.0;12.0;4.0;20.5;13.0;617.0;190325.0
Mercedes-BenzMetris;2016.0;208.0;4.0;3.5;23.5;20.5;617.0;30725.0
Mercedes-BenzR-Class;2011.0;244.66666666666666;6.0;4.0;21.666666666666668;16.5;617.0;51435.0
Mercedes-BenzS-Class;2016.0;533.25;9.5;3.25;23.0;14.75;617.0;157420.83333333334
Mercedes-BenzSL-Class;2016.0;493.4166666666667;8.5;2.0;24.416666666666668;16.75;617.0;140150.0
Mercedes-BenzSLC-Class;2017.0;301.5;5.0;2.0;30.5;22.5;617.0;54125.0
Mercedes-BenzSLK-Class;2015.0;310.55555555555554;6.0;2.0;29.666666666666668;21.0;617.0;57769.444444444445
Mercedes-BenzSLR McLaren;2008.0;625.0;8.0;2.0;16.0;11.666666666666666;617.0;490000.0
Mercedes-BenzSLS AMG;2011.6666666666667;563.0;8.0;2.0;20.0;14.0;617.0;189566.66666666666
Mercedes-BenzSLS AMG GT;2013.6;590.8;8.0;2.0;18.6;13.0;617.0;218000.0
Mercedes-BenzSLS AMG GT Final Edition;2015.0;583.0;8.0;2.0;19.0;13.0;617.0;224830.0
Mitsubishi3000GT;1998.0;233.0;6.0;2.0;22.333333333333332;16.666666666666668;436.0;5035.777777777777
MitsubishiDiamante;2003.0;206.66666666666666;6.0;4.0;23.0;15.666666666666666;436.0;26901.0
MitsubishiEclipse;2011.0;191.42857142857142;4.571428571428571;2.0;26.928571428571427;19.0;436.0;23967.571428571428
MitsubishiEclipse Spyder;2011.142857142857;206.14285714285714;4.857142857142857;2.0;25.571428571428573;18.142857142857142;436.0;29984.714285714286
MitsubishiEndeavor;2009.5;225.0;6.0;4.0;20.4;15.0;436.0;29689.0
MitsubishiExpo;1993.642857142857;132.71428571428572;4.0;3.142857142857143;24.142857142857142;18.5;436.0;2000.0
MitsubishiGalant;2011.0;160.0;4.0;4.0;30.0;21.0;436.0;22899.0
MitsubishiLancer;2015.9444444444443;165.16666666666666;4.0;4.0;31.333333333333332;23.444444444444443;436.0;20756.11111111111
MitsubishiLancer Evolution;2014.142857142857;292.7142857142857;4.0;4.0;22.571428571428573;17.0;436.0;36752.142857142855
MitsubishiLancer Sportback;2013.0;158.0;4.0;4.0;30.5;23.0;436.0;20045.0
MitsubishiMighty Max Pickup;1994.6;123.0;4.4;2.0;22.4;17.4;436.0;2000.0
MitsubishiMirage;2015.4285714285713;75.42857142857143;3.0;4.0;42.785714285714285;35.57142857142857;436.0;14470.0
MitsubishiMirage G4;2017.0;78.0;3.0;4.0;41.333333333333336;34.333333333333336;436.0;15395.0
MitsubishiMontero;2005.0;215.0;6.0;4.0;17.333333333333332;13.0;436.0;35652.333333333336
MitsubishiMontero Sport;2002.8;184.2;6.0;4.0;19.0;14.9;436.0;27504.4
MitsubishiOutlander;2016.1666666666667;175.66666666666666;4.333333333333333;4.0;29.555555555555557;23.833333333333332;436.0;25939.444444444445
MitsubishiOutlander Sport;2015.9642857142858;160.14285714285714;4.0;4.0;28.428571428571427;23.071428571428573;436.0;23059.285714285714
MitsubishiPrecis;1992.0;81.0;4.0;2.0;30.0;25.0;436.0;2000.0
MitsubishiRaider;2007.8;213.33333333333334;6.266666666666667;4.0;19.466666666666665;14.733333333333333;436.0;24838.0
MitsubishiSigma;1990.0;142.0;6.0;4.0;20.0;16.0;436.0;2000.0
MitsubishiVanwagon;1990.0;107.0;4.0;3.0;19.5;17.0;436.0;2000.0
Mitsubishii-MiEV;2015.6666666666667;66.0;;4.0;100.0;124.33333333333333;436.0;22995.0
Nissan200SX;1997.0;123.33333333333333;4.0;2.0;33.111111111111114;23.77777777777778;2009.0;2008.111111111111
Nissan240SX;1997.125;155.0;4.0;2.0;25.625;19.375;2009.0;4066.375
Nissan300ZX;1995.0;241.5;6.0;2.0;22.0;16.5;2009.0;2968.5833333333335
Nissan350Z;2007.764705882353;306.0;6.0;2.0;24.029411764705884;17.294117647058822;2009.0;36442.35294117647
Nissan370Z;2016.0;336.2352941176471;6.0;2.0;25.58823529411765;18.235294117647058;2009.0;40654.117647058825
NissanAltima;2015.9583333333333;218.04166666666666;4.833333333333333;4.0;35.75;24.875;2009.0;26956.25
NissanAltima Hybrid;2010.0;184.66666666666666;4.0;4.0;33.0;34.333333333333336;2009.0;26743.333333333332
NissanArmada;2015.3;338.9;8.0;4.0;18.5;12.8;2009.0;48204.0
NissanAxxess;1990.0;138.0;4.0;3.0;22.0;17.5;2009.0;2000.0
NissanCube;2012.9;122.0;4.0;4.0;30.6;26.2;2009.0;17500.0
NissanFrontier;2015.921052631579;243.78947368421052;5.684210526315789;4.0;21.723684210526315;15.960526315789474;2009.0;27461.71052631579
NissanGT-R;2015.625;561.25;6.0;2.0;22.5;16.0;2009.0;119030.0
NissanJuke;2016.0;193.0;4.0;4.0;31.233333333333334;26.6;2009.0;25124.666666666668
NissanLeaf;2015.0;;0.0;4.0;101.0;125.6;2009.0;32423.0
NissanMaxima;2016.0833333333333;298.3333333333333;6.0;4.0;29.333333333333332;21.083333333333332;2009.0;35799.166666666664
NissanMurano;2016.0;258.57142857142856;5.714285714285714;4.0;28.357142857142858;21.857142857142858;2009.0;36381.42857142857
NissanMurano CrossCabriolet;2013.0;265.0;6.0;2.0;22.0;17.0;2009.0;43691.666666666664
NissanNV200;2016.0;131.0;4.0;4.0;26.0;24.0;2009.0;21436.666666666668
NissanNX;1992.0;125.0;4.0;2.0;31.333333333333332;22.166666666666668;2009.0;2000.0
NissanPathfinder;2015.857142857143;266.85714285714283;6.0;4.0;26.5;19.5;2009.0;35520.0
NissanPulsar;1990.0;90.0;4.0;2.0;31.0;23.0;2009.0;2000.0
NissanQuest;2015.0;260.0;6.0;4.0;26.333333333333332;19.666666666666668;2009.0;33443.333333333336
NissanRogue;2015.9;170.0;4.0;4.0;32.5;25.5;2009.0;26121.0
NissanRogue Select;2014.5;170.0;4.0;4.0;27.5;22.5;2009.0;20825.0
NissanSentra;2016.0526315789473;134.8421052631579;4.0;4.0;37.26315789473684;28.736842105263158;2009.0;19146.842105263157
NissanStanza;1991.142857142857;138.0;4.0;4.0;25.857142857142858;18.857142857142858;2009.0;2000.0
NissanTitan;2015.1142857142856;335.77142857142854;8.0;4.0;18.314285714285713;13.085714285714285;2009.0;37958.0
NissanTruck;1995.9130434782608;137.30434782608697;4.3478260869565215;2.0;20.869565217391305;17.0;2009.0;2390.1304347826085
NissanVan;1990.0;106.0;4.0;3.0;19.5;15.5;2009.0;2000.0
NissanVersa;2015.9375;109.0;4.0;4.0;38.125;29.3125;2009.0;14660.625
NissanVersa Note;2015.8125;109.0;4.0;4.0;39.25;30.5;2009.0;16834.375
NissanXterra;2014.0;261.0;6.0;4.0;20.571428571428573;15.476190476190476;2009.0;26980.47619047619
OldsmobileAchieva;1996.8;150.0;4.4;3.2;29.0;19.2;26.0;2000.0
OldsmobileAlero;2003.0;155.0;5.0;3.0;28.666666666666668;19.5;26.0;20626.25
OldsmobileAurora;2001.8;236.0;7.2;4.0;24.2;15.8;26.0;33367.6
OldsmobileBravada;2002.857142857143;272.85714285714283;6.0;4.0;19.428571428571427;13.857142857142858;26.0;34021.42857142857
OldsmobileCiera;1995.6666666666667;146.66666666666666;5.333333333333333;4.0;27.0;18.666666666666668;26.0;2000.0
OldsmobileCustom Cruiser;1991.0;160.0;8.0;4.0;22.666666666666668;15.0;26.0;2000.0
OldsmobileCutlass;1998.0;153.33333333333334;6.0;4.0;26.333333333333332;17.333333333333332;26.0;2045.3333333333333
OldsmobileCutlass Calais;1990.5;140.0;4.0;3.0;29.875;19.625;26.0;2000.0
OldsmobileCutlass Ciera;1993.0;145.0;5.166666666666667;4.0;26.416666666666668;18.25;26.0;2000.0
OldsmobileCutlass Supreme;1995.857142857143;160.0;6.0;2.857142857142857;26.0;17.571428571428573;26.0;2000.0
OldsmobileEighty-Eight;1998.142857142857;205.0;6.0;4.0;26.714285714285715;17.0;26.0;2105.0
OldsmobileEighty-Eight Royale;1994.2;186.0;6.0;4.0;26.0;17.0;26.0;2000.0
OldsmobileIntrigue;2001.0;215.0;6.0;4.0;26.333333333333332;17.333333333333332;26.0;17359.666666666668
OldsmobileLSS;1998.0;220.83333333333334;6.0;4.0;25.666666666666668;16.5;26.0;2330.0
OldsmobileNinety-Eight;1994.5714285714287;195.71428571428572;6.0;4.0;25.428571428571427;16.714285714285715;26.0;2000.0
OldsmobileRegency;1997.5;205.0;6.0;4.0;26.5;17.0;26.0;2042.0
OldsmobileSilhouette;2003.0;185.0;6.0;4.0;23.2;16.6;26.0;32803.666666666664
OldsmobileToronado;1991.0;168.33333333333334;6.0;2.0;24.0;16.0;26.0;2000.0
PlymouthAcclaim;1994.0;102.0;4.0;4.0;26.666666666666668;20.0;535.0;2000.0
PlymouthBreeze;1998.8;132.0;4.0;4.0;33.2;23.0;535.0;2000.0
PlymouthColt;1993.1052631578948;108.89473684210526;4.0;3.3684210526315788;29.473684210526315;23.105263157894736;535.0;2000.0
PlymouthGrand Voyager;1998.875;155.0;6.0;4.0;22.75;16.375;535.0;2135.875
PlymouthHorizon;1990.0;93.0;4.0;4.0;31.0;22.0;535.0;2000.0
PlymouthLaser;1993.0;154.25;4.0;2.0;26.0;19.25;535.0;2000.0
PlymouthNeon;1999.4444444444443;138.0;4.0;3.3333333333333335;34.22222222222222;24.0;535.0;3195.4444444444443
PlymouthProwler;2000.0;253.0;6.0;2.0;21.0;15.0;535.0;28543.666666666668
PlymouthSundance;1992.857142857143;96.0;4.0;3.0;28.857142857142858;22.142857142857142;535.0;2000.0
PlymouthVoyager;1998.875;153.0;5.25;3.625;23.375;17.0;535.0;2075.125
Pontiac6000;1990.375;132.5;5.5;4.0;27.625;17.625;210.0;2000.0
PontiacAztek;2004.0;185.0;6.0;4.0;23.0;16.5;210.0;22688.333333333332
PontiacBonneville;2004.0;224.44444444444446;6.444444444444445;4.0;25.666666666666668;16.88888888888889;210.0;30752.777777777777
PontiacFirebird;2001.0;265.0;7.2;2.0;25.066666666666666;16.2;210.0;19644.4
PontiacG3;2009.0;106.0;4.0;4.0;34.0;27.0;210.0;14335.0
PontiacG5;2008.0;158.33333333333334;4.0;2.0;33.166666666666664;23.333333333333332;210.0;17664.166666666668
PontiacG6;2008.7272727272727;210.5909090909091;5.363636363636363;3.090909090909091;27.40909090909091;18.59090909090909;210.0;25019.772727272728
PontiacG8;2008.6;328.6;7.2;4.0;23.6;15.4;210.0;30767.0
PontiacGTO;2005.0;383.3333333333333;8.0;2.0;19.333333333333332;14.333333333333334;210.0;31793.333333333332
PontiacGrand Am;2003.764705882353;164.11764705882354;5.411764705882353;3.2941176470588234;28.294117647058822;19.294117647058822;210.0;21345.58823529412
PontiacGrand Prix;2006.875;253.625;6.75;4.0;26.375;17.0;210.0;24986.25
PontiacLe Mans;1992.0;74.0;4.0;2.6666666666666665;35.77777777777778;25.666666666666668;210.0;2000.0
PontiacMontana;2003.9411764705883;188.52941176470588;6.0;4.0;23.058823529411764;16.352941176470587;210.0;27944.117647058825
PontiacMontana SV6;2006.0;198.5;6.0;4.0;22.0;15.5;210.0;26000.0
PontiacSolstice;2008.2727272727273;212.9090909090909;4.0;2.0;26.454545454545453;18.818181818181817;210.0;27140.0
PontiacSunbird;1992.875;115.9375;4.375;2.625;30.875;21.0625;210.0;2000.0
PontiacSunfire;2004.2;140.0;4.0;2.0;32.0;22.8;210.0;13371.0
PontiacTorrent;2008.2;216.6;6.0;4.0;23.9;16.7;210.0;26542.0
PontiacTrans Sport;1997.4285714285713;180.0;6.0;3.4285714285714284;23.142857142857142;16.142857142857142;210.0;2020.2857142857142
PontiacVibe;2009.3333333333333;148.66666666666666;4.0;4.0;29.0;22.444444444444443;210.0;18388.333333333332
Porsche718 Cayman;2017.0;325.0;4.0;2.0;27.0;20.5;1715.0;60100.0
Porsche911;2015.9137931034484;426.37931034482756;6.0;2.0;26.155172413793103;18.43103448275862;1715.0;123763.79310344828
Porsche928;1994.0;345.0;8.0;2.0;17.0;11.0;1715.0;7704.333333333333
Porsche944;1990.5;208.0;4.0;2.0;24.0;15.0;1715.0;3093.75
Porsche968;1994.0;236.0;4.0;2.0;24.0;15.0;1715.0;4643.0
PorscheBoxster;2015.125;300.0;6.0;2.0;28.25;19.75;1715.0;61412.5
PorscheCarrera GT;2004.5;605.0;10.0;2.0;15.0;9.0;1715.0;440000.0
PorscheCayenne;2016.142857142857;422.85714285714283;6.714285714285714;4.0;23.5;16.428571428571427;1715.0;94385.71428571429
PorscheCayman;2015.125;310.0;6.0;2.0;28.25;19.75;1715.0;62487.5
PorscheCayman S;2006.0;295.0;6.0;2.0;26.0;18.0;1715.0;58900.0
PorscheMacan;2016.25;354.0;5.75;4.0;23.25;17.375;1715.0;61725.0
PorschePanamera;2015.5454545454545;437.27272727272725;6.909090909090909;4.0;25.681818181818183;16.454545454545453;1715.0;123340.90909090909
Rolls-RoyceCorniche;2001.0;325.0;8.0;2.0;15.0;10.0;86.0;359990.0
Rolls-RoyceDawn;2016.0;563.0;12.0;2.0;19.0;12.0;86.0;335000.0
Rolls-RoyceGhost;2013.0;563.0;12.0;4.0;20.666666666666668;13.0;86.0;276525.0
Rolls-RoyceGhost Series II;2015.5;563.0;12.0;4.0;21.0;13.0;86.0;307831.25
Rolls-RoycePark Ward;2001.5;322.0;12.0;4.0;15.0;11.0;86.0;261445.0
Rolls-RoycePhantom;2015.0;453.0;12.0;4.0;19.0;11.0;86.0;445959.1666666667
Rolls-RoycePhantom Coupe;2015.0;453.0;12.0;2.0;19.0;11.0;86.0;440466.6666666667
Rolls-RoycePhantom Drophead Coupe;2015.0;453.0;12.0;2.0;19.0;11.0;86.0;482125.0
Rolls-RoyceSilver Seraph;2001.5;322.0;12.0;4.0;15.0;11.0;86.0;224945.0
Rolls-RoyceWraith;2015.0;624.0;12.0;2.0;21.0;13.0;86.0;294425.0
Saab3-Sep;2009.84375;215.71875;4.1875;3.5;27.59375;18.4375;376.0;37603.28125
Saab5-Sep;2009.8181818181818;263.6363636363636;4.545454545454546;4.0;27.636363636363637;17.272727272727273;376.0;42925.90909090909
Saab9-2X;2005.5;198.75;4.0;4.0;25.5;18.5;376.0;24970.0
Saab9-3 Griffin;2012.0;220.0;4.0;3.3333333333333335;30.27777777777778;19.11111111111111;376.0;36581.11111111111
Saab9-4X;2011.0;272.0;6.0;4.0;23.6;17.0;376.0;38952.0
Saab9-7X;2008.125;317.5;7.25;4.0;18.75;13.25;376.0;43393.125
Saab900;1996.8260869565217;173.2608695652174;4.3478260869565215;2.6956521739130435;24.82608695652174;17.695652173913043;376.0;2025.1304347826087
Saab9000;1996.7;203.5;4.4;4.0;25.2;17.6;376.0;2058.6
ScionFR-S;2015.0;200.0;4.0;2.0;32.0;23.5;105.0;27517.5
ScioniA;2016.0;106.0;4.0;4.0;41.5;32.0;105.0;16250.0
ScioniM;2016.0;137.0;4.0;4.0;36.5;27.5;105.0;18830.0
ScioniQ;2014.0;94.0;4.0;2.0;37.0;36.0;105.0;16168.75
SciontC;2014.857142857143;179.0;4.0;2.0;31.0;23.0;105.0;21546.428571428572
ScionxA;2005.0;106.33333333333333;4.0;4.0;34.333333333333336;27.0;105.0;12996.666666666666
ScionxB;2013.9;158.0;4.0;4.0;28.0;22.0;105.0;18444.5
ScionxD;2012.8;128.0;4.0;4.0;33.0;27.0;105.0;16683.0
SpykerC8;2009.0;400.0;8.0;2.0;18.0;13.0;2.0;213323.33333333334
SubaruB9 Tribeca;2006.4;248.0;6.0;4.0;21.0;16.0;640.0;34088.333333333336
SubaruBRZ;2016.0;201.25;4.0;2.0;30.666666666666668;22.416666666666668;640.0;27685.833333333332
SubaruBaja;2005.0;192.0;4.0;4.0;23.0;17.4;640.0;24398.333333333332
SubaruCrosstrek;2016.4;150.4;4.0;4.0;32.4;25.6;640.0;24175.0
SubaruForester;2016.0;190.0;4.0;4.0;30.083333333333332;23.583333333333332;640.0;27336.666666666668
SubaruImpreza;2016.0294117647059;149.41176470588235;4.0;4.0;36.294117647058826;27.235294117647058;640.0;21168.529411764706
SubaruImpreza WRX;2013.5;278.3333333333333;4.0;4.0;24.333333333333332;18.333333333333332;640.0;30656.11111111111
SubaruJusty;1992.8;72.3;3.0;2.8;31.2;26.4;640.0;2000.0
SubaruLegacy;2015.8947368421052;187.78947368421052;4.315789473684211;4.0;34.36842105263158;24.842105263157894;640.0;25370.78947368421
